ano,mes,cbo4,mov,n,sal_medio
2023,1,1010,adm,9,4700.62
2023,1,1010,deslig,22,2173.68
2023,1,1011,deslig,1,4000.0
2023,1,1031,deslig,1,3373.38
2023,1,1111,adm,4,2372.25
2023,1,1111,deslig,7,2624.96
2023,1,1112,adm,11,3111.54
2023,1,1112,deslig,6,5398.89
2023,1,1114,adm,28,7560.37
2023,1,1114,deslig,18,8340.05
2023,1,1115,adm,100,4452.46
2023,1,1115,deslig,53,5182.47
2023,1,1142,deslig,3,9317.66
2023,1,1143,deslig,3,16872.65
2023,1,1144,adm,2,5100.0
2023,1,1210,adm,116,39548.48
2023,1,1210,deslig,140,24698.17
2023,1,1221,deslig,4,832894.18
2023,1,1222,adm,9,27810.56
2023,1,1222,deslig,11,39219.78
2023,1,1223,adm,7,8124.15
2023,1,1223,deslig,6,15603.82
2023,1,1224,adm,11,17186.01
2023,1,1224,deslig,12,22584.74
2023,1,1225,adm,5,11727.6
2023,1,1225,deslig,4,3128.02
2023,1,1226,adm,15,27258.45
2023,1,1226,deslig,13,25772.42
2023,1,1227,adm,15,27955.74
2023,1,1227,deslig,20,28389.92
2023,1,1231,adm,176,24451.15
2023,1,1231,deslig,252,25347.81
2023,1,1232,adm,25,34753.74
2023,1,1232,deslig,22,43403.88
2023,1,1233,adm,146,31899.49
2023,1,1233,deslig,151,36725.51
2023,1,1234,adm,10,34380.9
2023,1,1234,deslig,10,39624.32
2023,1,1236,adm,19,34945.47
2023,1,1236,deslig,24,38018.81
2023,1,1237,adm,13,31906.57
2023,1,1237,deslig,14,30198.09
2023,1,1238,adm,7,17742.22
2023,1,1238,deslig,10,24437.51
2023,1,1311,adm,90,8004.49
2023,1,1311,deslig,71,8439.94
2023,1,1312,adm,67,12981.57
2023,1,1312,deslig,95,14876.1
2023,1,1313,adm,131,5687.62
2023,1,1313,deslig,153,6904.12
2023,1,1411,adm,37,6053.35
2023,1,1411,deslig,33,5262.59
2023,1,1412,adm,415,6843.59
2023,1,1412,deslig,372,8068.16
2023,1,1413,adm,126,7204.0
2023,1,1413,deslig,120,8512.27
2023,1,1414,adm,1388,2840.06
2023,1,1414,deslig,1792,2701.48
2023,1,1415,adm,546,2840.29
2023,1,1415,deslig,646,3294.11
2023,1,1416,adm,268,8385.59
2023,1,1416,deslig,358,7691.98
2023,1,1417,adm,116,11014.43
2023,1,1417,deslig,211,11350.61
2023,1,1418,adm,2,10250.0
2023,1,1421,adm,1995,7845.83
2023,1,1421,deslig,2157,8781.99
