ano,mes,cbo6,secao,mov,n,sal_medio
2023,1,203105,C,adm,14,7573.66
2023,1,203105,C,deslig,1,8415.43
2023,1,203105,G,adm,1,5000.0
2023,1,203105,G,deslig,1,14000.0
2023,1,203105,H,adm,3,7933.33
2023,1,203105,J,adm,15,7453.33
2023,1,203105,J,deslig,5,6804.32
2023,1,203105,K,adm,6,12918.15
2023,1,203105,K,deslig,4,10312.58
2023,1,203105,M,adm,12,9593.59
2023,1,203105,M,deslig,8,11643.48
2023,1,203105,N,adm,4,14809.88
2023,1,203105,N,deslig,4,12621.05
2023,1,203105,P,adm,1,6000.0
2023,1,203105,Q,deslig,3,17997.69
2023,1,211205,C,adm,1,1491.87
2023,1,211205,G,deslig,7,11139.73
2023,1,211205,H,adm,2,3520.0
2023,1,211205,J,adm,19,7629.63
2023,1,211205,J,deslig,9,6002.95
2023,1,211205,K,adm,16,8055.73
2023,1,211205,K,deslig,11,9320.79
2023,1,211205,M,adm,9,7693.15
2023,1,211205,M,deslig,8,8383.86
2023,1,211205,N,adm,2,4000.0
2023,1,211205,N,deslig,3,8672.5
2023,1,211205,O,deslig,1,3929.05
2023,1,211205,P,adm,2,4754.74
2023,1,211205,Q,adm,5,8939.48
2023,1,211205,S,adm,2,6328.0
2023,1,211205,S,deslig,1,19731.0
2023,1,211210,J,adm,1,9760.0
2023,1,211210,K,adm,1,2300.0
2023,1,211210,K,deslig,1,6125.12
2023,1,211210,M,adm,2,9250.0
2023,1,211210,M,deslig,1,8576.0
2023,1,211210,N,adm,2,3368.52
2023,1,211210,N,deslig,1,5125.07
2023,1,211210,P,deslig,1,0.0
2023,1,211210,Q,adm,1,5552.19
2023,1,211210,Q,deslig,1,15000.0
2023,1,212205,A,adm,1,22000.0
2023,1,212205,C,adm,7,10408.43
2023,1,212205,C,deslig,3,12462.48
2023,1,212205,G,adm,4,21780.64
2023,1,212205,G,deslig,5,19291.34
2023,1,212205,H,adm,1,13557.84
2023,1,212205,J,adm,53,12039.23
2023,1,212205,J,deslig,57,15391.17
2023,1,212205,K,adm,12,9570.75
2023,1,212205,K,deslig,14,13288.73
2023,1,212205,L,deslig,2,19208.67
2023,1,212205,M,adm,44,12440.53
2023,1,212205,M,deslig,23,12956.8
2023,1,212205,N,adm,17,13072.67
2023,1,212205,N,deslig,14,13184.77
2023,1,212205,P,adm,3,10800.0
2023,1,212205,Q,adm,1,10806.0
2023,1,212210,G,deslig,1,36767.34
2023,1,212210,J,adm,3,3632.0
2023,1,212210,J,deslig,6,13556.83
2023,1,212210,M,adm,13,18535.85
2023,1,212210,M,deslig,2,12310.35
2023,1,212210,N,deslig,11,31860.1
2023,1,212215,C,adm,4,9850.0
2023,1,212215,G,adm,4,9057.35
2023,1,212215,G,deslig,8,12277.15
2023,1,212215,H,deslig,1,15890.0
2023,1,212215,J,adm,79,13981.33
2023,1,212215,J,deslig,82,10609.17
2023,1,212215,K,adm,9,20338.89
2023,1,212215,K,deslig,28,22234.75
2023,1,212215,L,adm,1,12200.0
2023,1,212215,L,deslig,5,12492.51
2023,1,212215,M,adm,16,16450.69
2023,1,212215,M,deslig,17,17834.74
2023,1,212215,N,adm,29,19673.4
2023,1,212215,N,deslig,12,29361.67
2023,1,212215,P,adm,3,7333.33
2023,1,212215,Q,adm,1,16000.0
2023,1,212215,R,adm,1,9010.0
2023,1,212215,S,adm,1,6500.0
2023,1,212305,C,adm,7,9473.29
2023,1,212305,F,adm,1,10000.0
2023,1,212305,G,adm,6,7083.33
2023,1,212305,G,deslig,10,8392.16
2023,1,212305,H,adm,1,18000.0
2023,1,212305,H,deslig,2,2217.61
2023,1,212305,J,adm,74,8637.47
2023,1,212305,J,deslig,52,8597.63
2023,1,212305,K,adm,16,8737.98
2023,1,212305,K,deslig,45,5023.57
2023,1,212305,L,adm,1,20000.0
2023,1,212305,L,deslig,1,15335.24
2023,1,212305,M,adm,24,7390.47
2023,1,212305,M,deslig,17,11103.19
2023,1,212305,N,adm,24,7898.81
2023,1,212305,N,deslig,15,3361.01
2023,1,212305,P,adm,2,5150.0
2023,1,212305,P,deslig,4,5865.37
2023,1,212305,Q,adm,2,8891.0
2023,1,212405,A,adm,4,4910.75
2023,1,212405,A,deslig,3,12104.08
2023,1,212405,B,adm,1,10000.0
2023,1,212405,B,deslig,1,3878.0
2023,1,212405,C,adm,179,8056.94
2023,1,212405,C,deslig,89,8310.4
2023,1,212405,D,adm,5,11840.0
2023,1,212405,D,deslig,8,6387.96
2023,1,212405,E,deslig,1,1650.0
2023,1,212405,F,adm,14,3721.11
2023,1,212405,F,deslig,13,5872.31
2023,1,212405,G,adm,164,5879.0
2023,1,212405,G,deslig,167,8315.22
2023,1,212405,H,adm,34,6088.24
2023,1,212405,H,deslig,21,7303.86
2023,1,212405,I,adm,2,3675.11
2023,1,212405,I,deslig,3,7532.71
2023,1,212405,J,adm,1883,7078.87
2023,1,212405,J,deslig,1792,8002.04
2023,1,212405,K,adm,533,9066.38
2023,1,212405,K,deslig,428,9461.26
2023,1,212405,L,adm,4,13398.0
2023,1,212405,L,deslig,1,12682.38
2023,1,212405,M,adm,392,7926.02
2023,1,212405,M,deslig,308,9328.03
2023,1,212405,N,adm,220,7452.38
2023,1,212405,N,deslig,178,7512.19
2023,1,212405,O,adm,1,20112.68
2023,1,212405,O,deslig,5,4829.03
2023,1,212405,P,adm,36,5629.89
2023,1,212405,P,deslig,15,5723.83
2023,1,212405,Q,adm,32,7259.46
2023,1,212405,Q,deslig,20,6243.96
2023,1,212405,R,adm,1,2974.0
2023,1,212405,R,deslig,2,8700.0
2023,1,212405,S,adm,25,4081.51
2023,1,212405,S,deslig,25,10616.75
2023,1,212410,A,adm,2,9298.5
2023,1,212410,C,adm,19,6112.7
2023,1,212410,C,deslig,20,7151.52
2023,1,212410,D,adm,2,7750.0
2023,1,212410,E,adm,1,3000.0
2023,1,212410,F,adm,26,3409.65
2023,1,212410,F,deslig,8,3746.22
2023,1,212410,G,adm,81,5588.09
2023,1,212410,G,deslig,42,5238.6
2023,1,212410,H,adm,15,6154.59
2023,1,212410,H,deslig,6,3639.84
2023,1,212410,I,adm,4,3067.22
2023,1,212410,I,deslig,4,2378.88
2023,1,212410,J,adm,257,5117.39
2023,1,212410,J,deslig,281,5987.85
2023,1,212410,K,adm,41,6562.93
2023,1,212410,K,deslig,28,7355.23
2023,1,212410,L,adm,2,4721.5
2023,1,212410,L,deslig,3,7983.55
2023,1,212410,M,adm,68,4439.9
2023,1,212410,M,deslig,60,5453.22
2023,1,212410,N,adm,71,3743.07
2023,1,212410,N,deslig,56,3926.84
2023,1,212410,O,adm,1,3434.44
2023,1,212410,P,adm,14,4086.59
2023,1,212410,P,deslig,6,3304.13
2023,1,212410,Q,adm,8,3888.35
2023,1,212410,Q,deslig,5,5431.44
2023,1,212410,R,adm,1,8300.0
2023,1,212410,R,deslig,1,3766.88
2023,1,212410,S,adm,19,4092.05
2023,1,212410,S,deslig,6,4417.81
2023,1,212425,C,adm,1,11971.0
2023,1,212425,G,adm,3,12666.67
2023,1,212425,G,deslig,2,12304.55
2023,1,212425,J,adm,38,11895.95
2023,1,212425,J,deslig,20,13837.22
2023,1,212425,K,adm,12,14189.5
2023,1,212425,K,deslig,3,11844.49
2023,1,212425,M,adm,10,13500.0
2023,1,212425,M,deslig,9,14725.26
2023,1,212425,N,deslig,3,15062.37
2023,1,212425,S,adm,2,2200.0
2023,2,203105,C,adm,5,6342.3
2023,2,203105,C,deslig,2,7143.98
2023,2,203105,D,adm,1,15000.0
2023,2,203105,F,deslig,1,8796.9
2023,2,203105,G,adm,1,21000.0
2023,2,203105,G,deslig,3,7432.87
2023,2,203105,J,adm,8,9202.66
2023,2,203105,J,deslig,6,13135.82
2023,2,203105,K,adm,2,8319.0
2023,2,203105,K,deslig,6,14443.92
2023,2,203105,M,adm,16,10430.11
2023,2,203105,M,deslig,10,10782.24
2023,2,203105,N,adm,1,4200.0
2023,2,203105,N,deslig,3,8218.61
2023,2,203105,Q,deslig,2,5637.14
2023,2,203105,S,adm,1,4500.0
2023,2,211205,C,adm,1,1800.0
2023,2,211205,C,deslig,1,7000.0
2023,2,211205,H,adm,1,5300.0
2023,2,211205,J,adm,10,9010.0
2023,2,211205,J,deslig,10,12717.63
2023,2,211205,K,adm,10,9238.42
2023,2,211205,K,deslig,5,12111.76
2023,2,211205,M,adm,6,4656.77
2023,2,211205,M,deslig,5,9334.55
2023,2,211205,N,adm,1,4000.0
2023,2,211205,N,deslig,4,7018.16
2023,2,211205,P,deslig,1,6720.11
2023,2,211205,Q,adm,3,7041.14
2023,2,211205,R,adm,2,2883.5
2023,2,211205,S,adm,1,12119.0
2023,2,211210,A,adm,1,2183.0
2023,2,211210,C,deslig,1,3547.67
2023,2,211210,G,adm,1,6877.0
2023,2,211210,G,deslig,1,4000.0
2023,2,211210,J,adm,2,11280.0
2023,2,211210,J,deslig,4,9611.83
2023,2,211210,L,adm,2,6240.0
2023,2,211210,Q,adm,1,5552.19
2023,2,211215,G,deslig,1,4000.0
2023,2,212205,C,adm,3,13438.54
2023,2,212205,C,deslig,5,11446.36
2023,2,212205,F,deslig,1,9000.0
2023,2,212205,G,adm,8,15484.71
2023,2,212205,G,deslig,6,10723.23
2023,2,212205,H,deslig,2,3657.72
2023,2,212205,I,adm,2,17331.5
2023,2,212205,J,adm,59,13153.29
2023,2,212205,J,deslig,93,12682.91
2023,2,212205,K,adm,7,16135.0
2023,2,212205,K,deslig,11,12645.32
2023,2,212205,L,deslig,1,13000.0
2023,2,212205,M,adm,27,18003.09
2023,2,212205,M,deslig,16,14162.53
2023,2,212205,N,adm,8,14584.68
2023,2,212205,N,deslig,11,15097.65
2023,2,212205,S,adm,1,6500.0
2023,2,212210,G,deslig,6,18351.64
2023,2,212210,J,adm,3,6734.0
2023,2,212210,J,deslig,17,10679.2
2023,2,212210,M,adm,12,19051.67
2023,2,212210,M,deslig,1,13500.0
2023,2,212210,S,adm,1,24373.48
2023,2,212215,C,deslig,4,12928.88
2023,2,212215,G,adm,1,19000.0
2023,2,212215,G,deslig,8,14079.42
2023,2,212215,H,deslig,1,21900.0
2023,2,212215,J,adm,73,12076.2
2023,2,212215,J,deslig,65,12097.58
2023,2,212215,K,adm,13,17640.84
2023,2,212215,K,deslig,17,12855.11
2023,2,212215,L,deslig,1,11698.02
2023,2,212215,M,adm,19,16705.32
2023,2,212215,M,deslig,20,16229.63
2023,2,212215,N,adm,16,19082.82
2023,2,212215,N,deslig,13,27715.75
2023,2,212215,P,adm,1,10156.0
2023,2,212215,Q,adm,1,7925.0
2023,2,212215,Q,deslig,1,12474.4
2023,2,212215,R,adm,2,8109.0
2023,2,212215,S,adm,1,26923.07
2023,2,212305,C,adm,4,7375.0
2023,2,212305,C,deslig,1,11820.7
2023,2,212305,F,deslig,1,2353.41
2023,2,212305,G,adm,5,11000.0
2023,2,212305,G,deslig,5,7380.03
2023,2,212305,H,deslig,1,5003.42
2023,2,212305,J,adm,25,6880.71
2023,2,212305,J,deslig,53,8876.21
2023,2,212305,K,adm,5,13787.74
2023,2,212305,K,deslig,8,6479.74
2023,2,212305,L,adm,3,15456.67
2023,2,212305,M,adm,10,8046.38
2023,2,212305,M,deslig,25,10390.55
2023,2,212305,N,adm,17,12713.61
2023,2,212305,N,deslig,16,5566.54
2023,2,212305,P,adm,1,6000.0
2023,2,212305,Q,adm,3,8792.94
2023,2,212305,S,deslig,1,4686.98
2023,2,212405,C,adm,122,7984.94
2023,2,212405,C,deslig,70,8613.64
2023,2,212405,D,adm,7,7191.95
2023,2,212405,D,deslig,3,13428.19
2023,2,212405,E,adm,1,9000.0
2023,2,212405,E,deslig,1,19268.44
2023,2,212405,F,adm,15,3883.27
2023,2,212405,F,deslig,15,5318.12
2023,2,212405,G,adm,124,6272.4
2023,2,212405,G,deslig,126,7223.97
2023,2,212405,H,adm,18,8502.78
2023,2,212405,H,deslig,18,7596.76
2023,2,212405,I,adm,2,8400.0
2023,2,212405,I,deslig,2,8197.0
2023,2,212405,J,adm,1276,8433.54
2023,2,212405,J,deslig,1889,8497.82
