ano,mes,cbo6,mov,bin,n
2023,1,203105,adm,2500.0,1
2023,1,203105,adm,3000.0,2
2023,1,203105,adm,3500.0,2
2023,1,203105,adm,4000.0,2
2023,1,203105,adm,4500.0,1
2023,1,203105,adm,5000.0,2
2023,1,203105,adm,5500.0,7
2023,1,203105,adm,6000.0,1
2023,1,203105,adm,6500.0,1
2023,1,203105,adm,7000.0,4
2023,1,203105,adm,7500.0,1
2023,1,203105,adm,8000.0,5
2023,1,203105,adm,9000.0,10
2023,1,203105,adm,9500.0,1
2023,1,203105,adm,10000.0,2
2023,1,203105,adm,11000.0,1
2023,1,203105,adm,11500.0,1
2023,1,203105,adm,12000.0,1
2023,1,203105,adm,13000.0,2
2023,1,203105,adm,13500.0,2
2023,1,203105,adm,14000.0,1
2023,1,203105,adm,15000.0,1
2023,1,203105,adm,15500.0,1
2023,1,203105,adm,16000.0,1
2023,1,203105,adm,16500.0,1
2023,1,203105,adm,17000.0,1
2023,1,203105,adm,34000.0,1
2023,1,203105,deslig,2500.0,1
2023,1,203105,deslig,3000.0,1
2023,1,203105,deslig,5000.0,2
2023,1,203105,deslig,5500.0,1
2023,1,203105,deslig,6000.0,1
2023,1,203105,deslig,6500.0,1
2023,1,203105,deslig,8000.0,4
2023,1,203105,deslig,9000.0,3
2023,1,203105,deslig,9500.0,1
2023,1,203105,deslig,11000.0,1
2023,1,203105,deslig,11500.0,1
2023,1,203105,deslig,12000.0,1
2023,1,203105,deslig,13000.0,1
2023,1,203105,deslig,14000.0,1
2023,1,203105,deslig,14500.0,1
2023,1,203105,deslig,15000.0,1
2023,1,203105,deslig,18000.0,1
2023,1,203105,deslig,20000.0,2
2023,1,203105,deslig,39000.0,1
2023,1,211205,adm,1000.0,1
2023,1,211205,adm,1500.0,1
2023,1,211205,adm,2000.0,2
2023,1,211205,adm,2500.0,3
2023,1,211205,adm,3500.0,1
2023,1,211205,adm,4000.0,2
2023,1,211205,adm,4500.0,4
2023,1,211205,adm,5000.0,7
2023,1,211205,adm,5500.0,1
2023,1,211205,adm,6000.0,7
2023,1,211205,adm,6500.0,1
2023,1,211205,adm,7000.0,1
2023,1,211205,adm,7500.0,3
2023,1,211205,adm,8000.0,4
2023,1,211205,adm,8500.0,2
2023,1,211205,adm,9000.0,2
2023,1,211205,adm,9500.0,4
2023,1,211205,adm,10000.0,2
2023,1,211205,adm,10500.0,1
2023,1,211205,adm,11000.0,1
2023,1,211205,adm,11500.0,1
2023,1,211205,adm,12500.0,2
2023,1,211205,adm,13500.0,1
2023,1,211205,adm,14000.0,1
2023,1,211205,adm,15500.0,1
2023,1,211205,adm,16000.0,1
2023,1,211205,adm,16500.0,1
2023,1,211205,deslig,3500.0,3
2023,1,211205,deslig,4000.0,2
2023,1,211205,deslig,4500.0,4
2023,1,211205,deslig,5000.0,3
2023,1,211205,deslig,5500.0,3
2023,1,211205,deslig,6000.0,3
2023,1,211205,deslig,6500.0,1
2023,1,211205,deslig,7000.0,2
2023,1,211205,deslig,7500.0,1
2023,1,211205,deslig,8500.0,2
2023,1,211205,deslig,10000.0,3
2023,1,211205,deslig,10500.0,2
2023,1,211205,deslig,11000.0,2
2023,1,211205,deslig,11500.0,1
2023,1,211205,deslig,12000.0,1
2023,1,211205,deslig,12500.0,3
2023,1,211205,deslig,13000.0,2
2023,1,211205,deslig,19500.0,1
2023,1,211205,deslig,32000.0,1
2023,1,211210,adm,2000.0,1
2023,1,211210,adm,3000.0,1
2023,1,211210,adm,3500.0,2
2023,1,211210,adm,5500.0,1
2023,1,211210,adm,9500.0,1
2023,1,211210,adm,15000.0,1
2023,1,211210,deslig,0.0,1
2023,1,211210,deslig,5000.0,1
2023,1,211210,deslig,6000.0,1
2023,1,211210,deslig,8500.0,1
2023,1,211210,deslig,15000.0,1
2023,1,212205,adm,2000.0,2
2023,1,212205,adm,2500.0,1
2023,1,212205,adm,3000.0,4
2023,1,212205,adm,3500.0,7
2023,1,212205,adm,4000.0,3
2023,1,212205,adm,4500.0,2
2023,1,212205,adm,5000.0,7
2023,1,212205,adm,5500.0,5
2023,1,212205,adm,6000.0,4
2023,1,212205,adm,6500.0,12
2023,1,212205,adm,7000.0,3
2023,1,212205,adm,7500.0,2
2023,1,212205,adm,8000.0,5
2023,1,212205,adm,8500.0,4
2023,1,212205,adm,9000.0,3
2023,1,212205,adm,9500.0,2
2023,1,212205,adm,10000.0,6
2023,1,212205,adm,10500.0,1
2023,1,212205,adm,11000.0,3
2023,1,212205,adm,11500.0,1
2023,1,212205,adm,12000.0,7
2023,1,212205,adm,12500.0,1
2023,1,212205,adm,13000.0,1
2023,1,212205,adm,13500.0,5
2023,1,212205,adm,14000.0,6
2023,1,212205,adm,15000.0,4
2023,1,212205,adm,15500.0,3
2023,1,212205,adm,16000.0,2
2023,1,212205,adm,16500.0,1
2023,1,212205,adm,17000.0,5
2023,1,212205,adm,17500.0,5
2023,1,212205,adm,18000.0,4
2023,1,212205,adm,19000.0,2
2023,1,212205,adm,20000.0,1
2023,1,212205,adm,20500.0,1
2023,1,212205,adm,22000.0,4
2023,1,212205,adm,23000.0,1
2023,1,212205,adm,24000.0,3
2023,1,212205,adm,27000.0,2
2023,1,212205,adm,28000.0,1
2023,1,212205,adm,28500.0,1
2023,1,212205,adm,30500.0,1
2023,1,212205,adm,32500.0,1
2023,1,212205,adm,33500.0,1
2023,1,212205,adm,35000.0,1
2023,1,212205,adm,35500.0,1
2023,1,212205,adm,40000.0,1
2023,1,212205,deslig,1500.0,1
2023,1,212205,deslig,2500.0,1
2023,1,212205,deslig,4000.0,1
2023,1,212205,deslig,5000.0,5
2023,1,212205,deslig,6000.0,5
2023,1,212205,deslig,6500.0,3
2023,1,212205,deslig,7000.0,2
2023,1,212205,deslig,7500.0,3
2023,1,212205,deslig,8000.0,3
2023,1,212205,deslig,8500.0,6
2023,1,212205,deslig,9000.0,2
2023,1,212205,deslig,9500.0,2
2023,1,212205,deslig,10000.0,5
2023,1,212205,deslig,10500.0,4
2023,1,212205,deslig,11000.0,4
2023,1,212205,deslig,11500.0,3
2023,1,212205,deslig,12000.0,11
2023,1,212205,deslig,12500.0,2
2023,1,212205,deslig,13000.0,6
2023,1,212205,deslig,14000.0,2
2023,1,212205,deslig,14500.0,2
2023,1,212205,deslig,15500.0,2
2023,1,212205,deslig,16000.0,1
2023,1,212205,deslig,16500.0,2
2023,1,212205,deslig,17000.0,3
2023,1,212205,deslig,17500.0,3
2023,1,212205,deslig,18000.0,5
2023,1,212205,deslig,19000.0,4
2023,1,212205,deslig,19500.0,4
2023,1,212205,deslig,20000.0,2
2023,1,212205,deslig,20500.0,1
2023,1,212205,deslig,21500.0,2
2023,1,212205,deslig,22000.0,4
2023,1,212205,deslig,24500.0,1
2023,1,212205,deslig,25000.0,2
2023,1,212205,deslig,25500.0,1
2023,1,212205,deslig,26000.0,1
2023,1,212205,deslig,27000.0,1
2023,1,212205,deslig,33500.0,1
2023,1,212205,deslig,35000.0,1
2023,1,212205,deslig,36500.0,1
2023,1,212205,deslig,38500.0,1
2023,1,212205,deslig,42500.0,1
2023,1,212205,deslig,43000.0,1
2023,1,212210,adm,0.0,1
2023,1,212210,adm,4500.0,1
2023,1,212210,adm,5500.0,1
2023,1,212210,adm,6000.0,1
2023,1,212210,adm,13500.0,3
2023,1,212210,adm,17500.0,2
2023,1,212210,adm,19000.0,1
2023,1,212210,adm,20500.0,1
2023,1,212210,adm,23000.0,1
2023,1,212210,adm,24000.0,4
2023,1,212210,deslig,6500.0,1
2023,1,212210,deslig,8500.0,1
2023,1,212210,deslig,9500.0,1
2023,1,212210,deslig,10500.0,1
2023,1,212210,deslig,11000.0,1
2023,1,212210,deslig,13500.0,1
2023,1,212210,deslig,15000.0,1
2023,1,212210,deslig,16500.0,1
2023,1,212210,deslig,20000.0,2
2023,1,212210,deslig,22000.0,1
2023,1,212210,deslig,28500.0,1
2023,1,212210,deslig,29500.0,1
2023,1,212210,deslig,31500.0,1
2023,1,212210,deslig,33500.0,1
2023,1,212210,deslig,34000.0,3
2023,1,212210,deslig,36500.0,1
2023,1,212210,deslig,50000.0,1
2023,1,212215,adm,2000.0,5
2023,1,212215,adm,2500.0,1
2023,1,212215,adm,3000.0,2
2023,1,212215,adm,3500.0,2
2023,1,212215,adm,4000.0,1
2023,1,212215,adm,4500.0,2
2023,1,212215,adm,5000.0,4
2023,1,212215,adm,5500.0,4
2023,1,212215,adm,6000.0,7
2023,1,212215,adm,6500.0,3
2023,1,212215,adm,7000.0,4
2023,1,212215,adm,7500.0,7
2023,1,212215,adm,8000.0,4
2023,1,212215,adm,8500.0,3
2023,1,212215,adm,9000.0,3
2023,1,212215,adm,9500.0,4
2023,1,212215,adm,10000.0,4
2023,1,212215,adm,10500.0,5
2023,1,212215,adm,11000.0,1
2023,1,212215,adm,12000.0,6
2023,1,212215,adm,12500.0,2
2023,1,212215,adm,13000.0,8
2023,1,212215,adm,13500.0,1
2023,1,212215,adm,14000.0,2
2023,1,212215,adm,14500.0,1
2023,1,212215,adm,15000.0,4
2023,1,212215,adm,15500.0,1
2023,1,212215,adm,16000.0,3
2023,1,212215,adm,16500.0,5
2023,1,212215,adm,17000.0,1
2023,1,212215,adm,17500.0,3
2023,1,212215,adm,18000.0,2
2023,1,212215,adm,19000.0,3
2023,1,212215,adm,20000.0,3
2023,1,212215,adm,20500.0,2
2023,1,212215,adm,21000.0,3
2023,1,212215,adm,22000.0,3
2023,1,212215,adm,22500.0,2
2023,1,212215,adm,23000.0,4
2023,1,212215,adm,23500.0,1
2023,1,212215,adm,24000.0,1
2023,1,212215,adm,24500.0,1
2023,1,212215,adm,25000.0,1
2023,1,212215,adm,25500.0,1
2023,1,212215,adm,26000.0,1
2023,1,212215,adm,26500.0,1
2023,1,212215,adm,28000.0,1
2023,1,212215,adm,29500.0,2
2023,1,212215,adm,32500.0,1
2023,1,212215,adm,33000.0,4
2023,1,212215,adm,33500.0,1
2023,1,212215,adm,34000.0,1
2023,1,212215,adm,36500.0,1
2023,1,212215,adm,37500.0,1
2023,1,212215,adm,42000.0,1
2023,1,212215,adm,49500.0,1
2023,1,212215,adm,50000.0,2
2023,1,212215,deslig,0.0,2
2023,1,212215,deslig,1500.0,1
2023,1,212215,deslig,2000.0,5
2023,1,212215,deslig,2500.0,3
2023,1,212215,deslig,3000.0,1
2023,1,212215,deslig,3500.0,3
2023,1,212215,deslig,4000.0,4
2023,1,212215,deslig,4500.0,2
2023,1,212215,deslig,5000.0,3
2023,1,212215,deslig,5500.0,1
2023,1,212215,deslig,6000.0,4
2023,1,212215,deslig,6500.0,2
2023,1,212215,deslig,7000.0,5
2023,1,212215,deslig,7500.0,4
2023,1,212215,deslig,8000.0,4
2023,1,212215,deslig,8500.0,5
2023,1,212215,deslig,9000.0,5
2023,1,212215,deslig,9500.0,3
2023,1,212215,deslig,10000.0,5
2023,1,212215,deslig,10500.0,5
2023,1,212215,deslig,11000.0,5
2023,1,212215,deslig,11500.0,4
2023,1,212215,deslig,12000.0,8
2023,1,212215,deslig,12500.0,2
2023,1,212215,deslig,13000.0,3
2023,1,212215,deslig,13500.0,1
2023,1,212215,deslig,14000.0,4
2023,1,212215,deslig,14500.0,2
2023,1,212215,deslig,15000.0,4
