ano,mes,cbo6,secao,mov,porte,n,sal_medio
2023,1,203105,C,adm,10,11,8060.94
2023,1,203105,J,adm,1,1,8000.0
2023,1,203105,J,adm,7,3,4500.0
2023,1,203105,K,adm,10,2,13504.45
2023,1,203105,M,adm,10,10,9620.0
2023,1,203105,M,deslig,10,5,13379.76
2023,1,203105,N,adm,9,2,9823.88
2023,1,203105,N,deslig,4,1,12069.38
2023,1,211205,G,deslig,10,7,11139.73
2023,1,211205,J,adm,5,1,4027.66
2023,1,211205,J,adm,7,4,5375.0
2023,1,211205,J,adm,9,9,8095.02
2023,1,211205,J,deslig,6,2,4396.5
2023,1,211205,J,deslig,8,3,7929.51
2023,1,211205,K,adm,8,2,8350.0
2023,1,211205,K,deslig,6,1,4770.92
2023,1,211205,K,deslig,10,7,11880.94
2023,1,211205,M,adm,9,3,5966.67
2023,1,211205,M,deslig,6,3,8833.33
2023,1,211205,N,deslig,9,2,6494.76
2023,1,211205,P,adm,7,1,7509.48
2023,1,211205,S,deslig,9,1,19731.0
2023,1,211210,K,deslig,7,1,6125.12
2023,1,211210,M,adm,5,1,3500.0
2023,1,212205,C,adm,3,3,8166.67
2023,1,212205,G,deslig,8,1,11790.0
2023,1,212205,H,adm,10,1,13557.84
2023,1,212205,J,adm,5,5,4624.64
2023,1,212205,J,adm,6,11,10244.87
2023,1,212205,J,adm,7,13,9796.9
2023,1,212205,J,adm,8,6,25662.2
2023,1,212205,J,adm,9,9,9370.28
2023,1,212205,J,adm,10,6,13773.03
2023,1,212205,J,deslig,6,6,14306.29
2023,1,212205,J,deslig,9,23,16244.46
2023,1,212205,J,deslig,10,8,11671.53
2023,1,212205,K,deslig,8,11,12709.09
2023,1,212205,M,adm,1,1,10208.33
2023,1,212205,M,adm,7,1,4909.29
2023,1,212205,M,adm,9,22,14723.53
2023,1,212205,M,adm,10,16,9690.12
2023,1,212205,N,adm,4,2,16435.71
2023,1,212205,N,adm,10,3,7166.67
2023,1,212205,N,deslig,6,2,6907.0
2023,1,212205,N,deslig,8,4,20405.21
2023,1,212205,P,adm,7,1,3500.0
2023,1,212210,M,adm,8,13,18535.85
2023,1,212210,M,deslig,8,1,9533.7
2023,1,212210,N,deslig,8,10,34147.51
2023,1,212215,C,adm,1,1,5000.0
2023,1,212215,C,adm,9,1,19000.0
2023,1,212215,G,deslig,7,4,15937.5
2023,1,212215,J,adm,3,7,30238.32
2023,1,212215,J,adm,4,2,13000.0
2023,1,212215,J,adm,6,14,9361.44
2023,1,212215,J,adm,7,19,13619.8
2023,1,212215,J,adm,8,13,11939.31
2023,1,212215,J,deslig,5,19,9606.1
2023,1,212215,J,deslig,7,23,10624.03
2023,1,212215,J,deslig,8,7,12606.76
2023,1,212215,J,deslig,9,5,14255.26
2023,1,212215,J,deslig,10,10,11785.8
2023,1,212215,K,deslig,5,9,28304.88
2023,1,212215,K,deslig,8,9,11173.74
2023,1,212215,K,deslig,10,6,33871.07
