ano,mes,cbo6,faixa_sm,mov,n,sal_medio
2023,1,142505,3_a_6SM,adm,7,5642.86
2023,1,142505,3_a_6SM,deslig,7,5482.97
2023,1,142505,6_a_10SM,adm,10,10472.44
2023,1,142505,6_a_10SM,deslig,14,10510.41
2023,1,142505,acima_10SM,adm,20,22508.88
2023,1,142505,acima_10SM,deslig,23,21226.94
2023,1,142505,ate_3SM,adm,7,2228.86
2023,1,142505,ate_3SM,deslig,3,2537.18
2023,1,142510,3_a_6SM,adm,7,6054.23
2023,1,142510,3_a_6SM,deslig,6,5746.93
2023,1,142510,6_a_10SM,adm,20,11050.98
2023,1,142510,6_a_10SM,deslig,30,11110.6
2023,1,142510,acima_10SM,adm,110,22309.71
2023,1,142510,acima_10SM,deslig,108,22637.22
2023,1,142510,ate_3SM,adm,4,3175.0
2023,1,142510,ate_3SM,deslig,4,2735.13
2023,1,142515,3_a_6SM,adm,7,6003.06
2023,1,142515,3_a_6SM,deslig,8,5086.45
2023,1,142515,6_a_10SM,adm,10,9851.08
2023,1,142515,6_a_10SM,deslig,11,10536.33
2023,1,142515,acima_10SM,adm,21,21838.99
2023,1,142515,acima_10SM,deslig,34,21920.77
2023,1,142515,ate_3SM,adm,1,3250.0
2023,1,142515,ate_3SM,deslig,3,3325.25
2023,1,142520,3_a_6SM,adm,51,5899.89
2023,1,142520,3_a_6SM,deslig,42,6034.15
2023,1,142520,6_a_10SM,adm,103,10689.16
2023,1,142520,6_a_10SM,deslig,94,10546.82
2023,1,142520,acima_10SM,adm,128,20657.16
2023,1,142520,acima_10SM,deslig,133,19395.14
2023,1,142520,ate_3SM,adm,33,2681.91
2023,1,142520,ate_3SM,deslig,24,2831.36
2023,1,142525,6_a_10SM,adm,4,10350.65
2023,1,142525,6_a_10SM,deslig,1,10307.54
2023,1,142525,acima_10SM,adm,15,20984.72
2023,1,142525,acima_10SM,deslig,14,23356.41
2023,1,142525,ate_3SM,adm,1,3500.0
2023,1,142525,ate_3SM,deslig,3,3198.45
2023,1,142530,3_a_6SM,adm,10,5386.58
2023,1,142530,3_a_6SM,deslig,18,6026.09
2023,1,142530,6_a_10SM,adm,15,10468.31
2023,1,142530,6_a_10SM,deslig,10,10487.27
2023,1,142530,acima_10SM,adm,18,21658.59
2023,1,142530,acima_10SM,deslig,22,18832.38
2023,1,142530,ate_3SM,adm,8,2434.83
2023,1,142530,ate_3SM,deslig,3,2308.73
2023,1,142535,3_a_6SM,adm,7,5686.65
2023,1,142535,3_a_6SM,deslig,3,6188.47
2023,1,142535,6_a_10SM,adm,9,10775.12
2023,1,142535,6_a_10SM,deslig,13,10035.74
2023,1,142535,acima_10SM,adm,5,17719.92
2023,1,142535,acima_10SM,deslig,2,15783.42
2023,1,142535,ate_3SM,adm,20,2374.77
2023,1,142535,ate_3SM,deslig,12,2304.97
2023,1,212305,3_a_6SM,adm,60,5748.03
2023,1,212305,3_a_6SM,deslig,36,6136.89
2023,1,212305,6_a_10SM,adm,50,10186.81
2023,1,212305,6_a_10SM,deslig,36,10219.48
2023,1,212305,acima_10SM,adm,22,18567.75
2023,1,212305,acima_10SM,deslig,19,17258.34
2023,1,212305,ate_3SM,adm,26,2619.42
2023,1,212305,ate_3SM,deslig,55,2231.32
2023,1,212310,3_a_6SM,adm,22,5955.11
2023,1,212310,3_a_6SM,deslig,19,5740.06
2023,1,212310,6_a_10SM,adm,12,11206.23
2023,1,212310,6_a_10SM,deslig,12,10051.78
2023,1,212310,acima_10SM,adm,4,15846.68
2023,1,212310,acima_10SM,deslig,10,19886.28
2023,1,212310,ate_3SM,adm,29,2529.63
2023,1,212310,ate_3SM,deslig,17,2886.63
2023,1,212315,3_a_6SM,adm,27,5285.87
2023,1,212315,3_a_6SM,deslig,26,5529.9
2023,1,212315,6_a_10SM,adm,29,10405.43
2023,1,212315,6_a_10SM,deslig,20,10490.0
2023,1,212315,acima_10SM,adm,24,17578.2
2023,1,212315,acima_10SM,deslig,37,16992.35
2023,1,212315,ate_3SM,adm,30,2814.89
2023,1,212315,ate_3SM,deslig,31,2339.12
2023,1,212320,3_a_6SM,adm,73,5717.94
2023,1,212320,3_a_6SM,deslig,44,5738.42
2023,1,212320,6_a_10SM,adm,50,10716.01
2023,1,212320,6_a_10SM,deslig,36,10385.25
2023,1,212320,acima_10SM,adm,30,17121.22
2023,1,212320,acima_10SM,deslig,28,19271.8
2023,1,212320,ate_3SM,adm,47,2783.75
2023,1,212320,ate_3SM,deslig,17,2947.45
2023,1,212405,3_a_6SM,adm,1087,5641.25
2023,1,212405,3_a_6SM,deslig,940,5904.42
2023,1,212405,6_a_10SM,adm,994,10257.9
2023,1,212405,6_a_10SM,deslig,1014,10250.98
2023,1,212405,acima_10SM,adm,438,16570.67
2023,1,212405,acima_10SM,deslig,466,16834.09
2023,1,212405,ate_3SM,adm,1011,2668.07
2023,1,212405,ate_3SM,deslig,660,2748.25
2023,1,212410,3_a_6SM,adm,202,5350.59
2023,1,212410,3_a_6SM,deslig,184,5672.78
2023,1,212410,6_a_10SM,adm,72,10079.76
2023,1,212410,6_a_10SM,deslig,73,10108.12
2023,1,212410,acima_10SM,adm,27,17910.63
2023,1,212410,acima_10SM,deslig,32,18141.07
2023,1,212410,ate_3SM,adm,331,2562.33
2023,1,212410,ate_3SM,deslig,237,2527.48
2023,1,212415,3_a_6SM,adm,41,5257.54
2023,1,212415,3_a_6SM,deslig,38,5302.81
2023,1,212415,6_a_10SM,adm,14,9743.71
2023,1,212415,6_a_10SM,deslig,16,9704.07
2023,1,212415,acima_10SM,adm,3,14166.67
2023,1,212415,acima_10SM,deslig,3,14526.37
2023,1,212415,ate_3SM,adm,44,2632.21
2023,1,212415,ate_3SM,deslig,35,2835.72
2023,1,212420,3_a_6SM,adm,240,5381.65
2023,1,212420,3_a_6SM,deslig,241,5477.76
2023,1,212420,6_a_10SM,adm,79,10362.38
2023,1,212420,6_a_10SM,deslig,98,9887.48
2023,1,212420,acima_10SM,adm,33,16148.96
2023,1,212420,acima_10SM,deslig,39,18895.51
2023,1,212420,ate_3SM,adm,1183,2361.62
2023,1,212420,ate_3SM,deslig,934,2360.45
2023,1,212425,3_a_6SM,adm,12,6021.85
2023,1,212425,3_a_6SM,deslig,5,6636.77
2023,1,212425,6_a_10SM,adm,20,10500.29
2023,1,212425,6_a_10SM,deslig,9,10539.2
2023,1,212425,acima_10SM,adm,32,16406.97
2023,1,212425,acima_10SM,deslig,23,16807.17
2023,1,212425,ate_3SM,adm,2,2200.0
2023,1,212430,3_a_6SM,adm,65,5640.85
2023,1,212430,3_a_6SM,deslig,27,5740.61
2023,1,212430,6_a_10SM,adm,21,9568.14
2023,1,212430,6_a_10SM,deslig,16,10192.74
2023,1,212430,acima_10SM,adm,4,17250.0
2023,1,212430,acima_10SM,deslig,3,15720.6
2023,1,212430,ate_3SM,adm,21,3002.47
2023,1,212430,ate_3SM,deslig,15,2928.36
2023,1,317105,3_a_6SM,adm,19,5172.81
2023,1,317105,3_a_6SM,deslig,16,5862.13
2023,1,317105,6_a_10SM,adm,7,11285.84
2023,1,317105,6_a_10SM,deslig,5,9187.7
2023,1,317105,acima_10SM,deslig,4,18983.0
2023,1,317105,ate_3SM,adm,66,2226.19
2023,1,317105,ate_3SM,deslig,34,2255.19
2023,1,317110,3_a_6SM,adm,276,5603.01
2023,1,317110,3_a_6SM,deslig,272,5561.96
2023,1,317110,6_a_10SM,adm,204,10284.72
2023,1,317110,6_a_10SM,deslig,218,10284.74
2023,1,317110,acima_10SM,adm,87,17282.5
2023,1,317110,acima_10SM,deslig,88,17603.77
2023,1,317110,ate_3SM,adm,466,2498.15
2023,1,317110,ate_3SM,deslig,307,2632.34
2023,1,317115,3_a_6SM,adm,27,5020.04
2023,1,317115,3_a_6SM,deslig,21,5285.08
2023,1,317115,6_a_10SM,adm,1,8000.0
2023,1,317115,6_a_10SM,deslig,1,10080.4
2023,1,317115,ate_3SM,adm,22,2821.22
2023,1,317115,ate_3SM,deslig,25,2883.44
2023,1,317120,3_a_6SM,adm,7,5423.77
2023,1,317120,3_a_6SM,deslig,9,5631.15
2023,1,317120,6_a_10SM,adm,2,9980.0
2023,1,317120,6_a_10SM,deslig,2,10814.88
2023,1,317120,acima_10SM,adm,1,15000.0
2023,1,317120,acima_10SM,deslig,3,15309.42
2023,1,317120,ate_3SM,adm,17,2316.23
2023,1,317120,ate_3SM,deslig,19,2372.38
2023,1,317205,3_a_6SM,adm,15,4929.42
2023,1,317205,3_a_6SM,deslig,25,5158.98
2023,1,317205,6_a_10SM,adm,2,8554.24
2023,1,317205,6_a_10SM,deslig,4,10008.43
2023,1,317205,acima_10SM,adm,2,15500.0
2023,1,317205,acima_10SM,deslig,3,17716.52
2023,1,317205,ate_3SM,adm,280,1912.04
2023,1,317205,ate_3SM,deslig,227,1890.96
2023,1,317210,3_a_6SM,adm,24,4859.32
