ano,mes,tipomovimentacao,mov,n
2023,1,20,adm,5
2023,1,31,deslig,4039
2023,1,32,deslig,72
2023,1,33,deslig,3
2023,1,35,adm,1
2023,1,40,deslig,3631
2023,1,43,deslig,201
2023,1,50,deslig,2
2023,1,60,deslig,17
2023,1,90,deslig,93
2023,1,97,adm,9448
2023,1,98,deslig,1
2023,2,31,deslig,4407
2023,2,32,deslig,63
2023,2,35,adm,3
2023,2,40,deslig,3101
2023,2,43,deslig,166
2023,2,60,deslig,14
2023,2,90,deslig,107
2023,2,97,adm,6916
2023,3,31,deslig,4548
2023,3,32,deslig,46
2023,3,33,deslig,2
2023,3,35,adm,6
2023,3,40,deslig,3541
2023,3,43,deslig,181
2023,3,50,deslig,4
2023,3,60,deslig,11
2023,3,90,deslig,94
2023,3,97,adm,8134
2023,4,31,deslig,3928
2023,4,32,deslig,39
2023,4,33,deslig,1
2023,4,35,adm,7
2023,4,40,deslig,3383
2023,4,43,deslig,205
2023,4,50,deslig,2
2023,4,60,deslig,19
2023,4,90,deslig,85
2023,4,97,adm,8062
2023,5,31,deslig,4051
2023,5,32,deslig,53
2023,5,33,deslig,1
2023,5,35,adm,3
2023,5,40,deslig,3280
2023,5,43,deslig,223
2023,5,50,deslig,1
2023,5,60,deslig,13
2023,5,90,deslig,104
2023,5,97,adm,8023
2023,5,98,deslig,1
2023,6,31,deslig,4190
2023,6,32,deslig,48
2023,6,33,deslig,2
2023,6,35,adm,1
2023,6,40,deslig,3503
2023,6,43,deslig,173
2023,6,50,deslig,2
2023,6,60,deslig,20
2023,6,90,deslig,97
2023,6,97,adm,8066
2023,6,98,deslig,2
2023,7,31,deslig,3883
2023,7,32,deslig,59
2023,7,33,deslig,1
2023,7,35,adm,4
2023,7,40,deslig,3297
2023,7,43,deslig,252
2023,7,50,deslig,1
2023,7,60,deslig,19
2023,7,90,deslig,81
2023,7,97,adm,7653
2023,7,98,deslig,1
2023,8,31,deslig,3940
2023,8,32,deslig,49
2023,8,33,deslig,2
2023,8,35,adm,1
2023,8,40,deslig,3494
2023,8,43,deslig,228
2023,8,50,deslig,4
2023,8,60,deslig,22
2023,8,90,deslig,107
2023,8,97,adm,8476
2023,9,31,deslig,3524
2023,9,32,deslig,53
2023,9,33,deslig,2
2023,9,35,adm,2
2023,9,40,deslig,3515
2023,9,43,deslig,215
2023,9,50,deslig,1
2023,9,60,deslig,16
2023,9,90,deslig,68
2023,9,97,adm,7352
2023,9,98,deslig,1
2023,10,31,deslig,3705
2023,10,32,deslig,63
2023,10,33,deslig,5
2023,10,35,adm,4
2023,10,40,deslig,3123
2023,10,43,deslig,715
2023,10,50,deslig,3
2023,10,60,deslig,13
2023,10,90,deslig,76
2023,10,97,adm,8066
2023,11,31,deslig,2791
2023,11,32,deslig,56
2023,11,33,deslig,2
2023,11,35,adm,4
2023,11,40,deslig,2967
2023,11,43,deslig,208
2023,11,50,deslig,5
2023,11,60,deslig,20
2023,11,90,deslig,69
2023,11,97,adm,6863
2023,12,31,deslig,3327
2023,12,32,deslig,50
2023,12,35,adm,3
2023,12,40,deslig,2872
2023,12,43,deslig,218
2023,12,50,deslig,2
2023,12,60,deslig,14
2023,12,90,deslig,73
2023,12,97,adm,5972
2023,12,98,deslig,3
2024,1,31,deslig,3957
2024,1,32,deslig,54
2024,1,33,deslig,1
2024,1,35,adm,2
2024,1,40,deslig,3238
2024,1,43,deslig,163
2024,1,50,deslig,3
2024,1,60,deslig,23
2024,1,90,deslig,94
2024,1,97,adm,8157
2024,1,98,deslig,1
2024,2,31,deslig,4064
2024,2,32,deslig,56
2024,2,33,deslig,1
2024,2,35,adm,3
2024,2,40,deslig,3136
2024,2,43,deslig,192
2024,2,50,deslig,2
2024,2,60,deslig,21
2024,2,90,deslig,87
2024,2,97,adm,7027
2024,2,98,deslig,2
2024,3,31,deslig,3890
2024,3,32,deslig,37
2024,3,35,adm,1
2024,3,40,deslig,3610
2024,3,43,deslig,194
2024,3,60,deslig,24
2024,3,90,deslig,126
2024,3,97,adm,7861
2024,3,98,deslig,1
2024,4,31,deslig,4081
2024,4,32,deslig,48
2024,4,33,deslig,2
2024,4,35,adm,3
2024,4,40,deslig,3611
2024,4,43,deslig,222
2024,4,50,deslig,6
2024,4,60,deslig,29
2024,4,90,deslig,103
2024,4,97,adm,8700
2024,4,98,deslig,1
2024,5,31,deslig,3762
2024,5,32,deslig,54
2024,5,35,adm,3
2024,5,40,deslig,4000
2024,5,43,deslig,202
2024,5,50,deslig,2
2024,5,60,deslig,22
2024,5,90,deslig,88
2024,5,97,adm,8399
2024,6,31,deslig,3621
2024,6,32,deslig,44
2024,6,33,deslig,2
2024,6,35,adm,3
2024,6,40,deslig,3641
2024,6,43,deslig,210
2024,6,50,deslig,1
2024,6,60,deslig,16
2024,6,90,deslig,79
2024,6,97,adm,8267
2024,6,98,deslig,2
2024,7,31,deslig,3456
2024,7,32,deslig,54
2024,7,35,adm,3
