ano,mes,adm_total,adm_tipica,deslig_total,deslig_tipico,adm_tipica_ti,deslig_tipico_ti
2023,1,572994,480038,554447,463277,9454,8059
2023,2,591842,496706,526965,450594,6919,7858
2023,3,664639,560879,613011,523939,8140,8427
2023,4,579437,496048,524400,447128,8069,7662
2023,5,617248,530255,567136,488655,8026,7727
2023,6,586906,503022,550488,469903,8067,8037
2023,7,578329,495855,534998,454271,7657,7594
2023,8,642890,541793,577428,497862,8477,7846
2023,9,582205,492248,534899,460786,7354,7395
2023,10,621054,517608,551612,469743,8070,7703
2023,11,594400,480748,547127,460410,6867,6118
2023,12,481166,389448,645103,493502,5975,6559
2024,1,639442,537080,600943,503974,8159,7534
2024,2,704433,593010,603270,516849,7030,7561
2024,3,713338,602499,636397,542497,7862,7882
2024,4,723611,620119,647312,558207,8703,8103
2024,5,683314,589306,640959,550578,8402,8130
2024,6,656213,563097,608256,515465,8270,7616
2024,7,680724,576736,618877,527579,9031,7789
2024,8,693487,589647,632717,541440,9297,8484
2024,9,680882,570478,623815,533600,9122,8007
2024,10,720450,596906,673195,572973,9244,8317
2024,11,638754,520936,600192,507813,7866,7006
2024,12,482273,391665,672842,514337,6019,6319
2025,1,706744,588683,670619,560469,8304,8318
2025,2,802375,671684,664794,567332,8771,8293
2025,3,711909,603454,677045,576933,7887,7952
2025,4,730954,620930,658671,564904,9242,8736
2025,5,707444,598098,674131,577824,9259,8786
2025,6,678491,570718,638402,539972,9147,8281
2025,7,706897,597437,664099,563890,9514,8537
2025,8,705905,594115,660455,564909,9710,9167
2025,9,728293,611066,679241,577944,9614,9305
2025,10,731303,606884,712847,605206,9936,9464
2025,11,650681,528884,619577,522449,8920,7180
2025,12,483374,395547,707656,546619,6392,6797
